field,pi_record_no,place,same as,part of
seller_loc_1,K-218,"Paris, France",tgn/7008038,
seller_loc_1,K-219,"Paris, France",tgn/7008038,
seller_loc_1,K-220,"Paris, France",tgn/7008038,
seller_loc_1,K-221,"Paris, France",tgn/7008038,
seller_loc_1,K-222,"Paris, France",tgn/7008038,
seller_loc_1,K-223,"Paris, France",tgn/7008038,
seller_loc_1,K-224,"Paris, France",tgn/7008038,
seller_loc_1,K-225,"Paris, France",tgn/7008038,
seller_loc_1,K-226,"Paris, France",tgn/7008038,
seller_loc_1,K-227,"Paris, France",tgn/7008038,
seller_loc_1,K-228,"Paris, France",tgn/7008038,
seller_loc_1,K-229,"Paris, France",tgn/7008038,
seller_loc_1,K-230,"Paris, France",tgn/7008038,
seller_loc_1,K-231,"Paris, France",tgn/7008038,
seller_loc_1,K-232,"Paris, France",tgn/7008038,
seller_loc_1,K-233,"Paris, France",tgn/7008038,
seller_loc_1,K-234,"Paris, France",tgn/7008038,
seller_loc_1,K-235,"Paris, France",tgn/7008038,
seller_loc_1,K-236,"Paris, France",tgn/7008038,
seller_loc_1,K-237,"Paris, France",tgn/7008038,
seller_loc_1,K-238,"Paris, France",tgn/7008038,
seller_loc_1,K-239,"Paris, France",tgn/7008038,
seller_loc_1,K-240,"Paris, France",tgn/7008038,
seller_loc_1,K-241,"Paris, France",tgn/7008038,
seller_loc_1,K-242,"Paris, France",tgn/7008038,
seller_loc_1,K-243,"Paris, France",tgn/7008038,
seller_loc_1,K-244,"Paris, France",tgn/7008038,
seller_loc_1,K-245,"Paris, France",tgn/7008038,
seller_loc_1,K-246,"Paris, France",tgn/7008038,
seller_loc_1,K-247,"Paris, France",tgn/7008038,
seller_loc_1,K-248,"Paris, France",tgn/7008038,
seller_loc_1,K-249,"Paris, France",tgn/7008038,
seller_loc_1,K-250,"Paris, France",tgn/7008038,
seller_loc_1,K-251,"Paris, France",tgn/7008038,
seller_loc_1,K-252,"Paris, France",tgn/7008038,
seller_loc_1,K-253,"Paris, France",tgn/7008038,
seller_loc_1,K-254,"Paris, France",tgn/7008038,
seller_loc_1,K-255,"Paris, France",tgn/7008038,
seller_loc_1,K-256,"Paris, France",tgn/7008038,
seller_loc_1,K-257,"Paris, France",tgn/7008038,
seller_loc_1,K-258,"Paris, France",tgn/7008038,
seller_loc_1,K-259,"Paris, France",tgn/7008038,
seller_loc_1,K-260,"Paris, France",tgn/7008038,
seller_loc_1,K-261,"Paris, France",tgn/7008038,
seller_loc_1,K-262,"Paris, France",tgn/7008038,
seller_loc_1,K-263,"Paris, France",tgn/7008038,
seller_loc_1,K-264,"Paris, France",tgn/7008038,
seller_loc_1,K-265,"Paris, France",tgn/7008038,
seller_loc_1,K-266,"Paris, France",tgn/7008038,
seller_loc_1,K-267,"Paris, France",tgn/7008038,
seller_loc_1,K-268,"Paris, France",tgn/7008038,
seller_loc_1,K-269,"Paris, France",tgn/7008038,
seller_loc_1,K-270,"Paris, France",tgn/7008038,
seller_loc_1,K-271,"Paris, France",tgn/7008038,
seller_loc_1,K-272,"Paris, France",tgn/7008038,
seller_loc_1,K-273,"Paris, France",tgn/7008038,
seller_loc_1,K-274,"Paris, France",tgn/7008038,
seller_loc_1,K-275,"Paris, France",tgn/7008038,
seller_loc_1,K-276,"Paris, France",tgn/7008038,
seller_loc_1,K-277,"Paris, France",tgn/7008038,
seller_loc_1,K-278,"Paris, France",tgn/7008038,
seller_loc_1,K-279,"Paris, France",tgn/7008038,
seller_loc_1,K-280,"Paris, France",tgn/7008038,
seller_loc_1,K-281,"Paris, France",tgn/7008038,
seller_loc_1,K-282,"Paris, France",tgn/7008038,
seller_loc_1,K-283,"Paris, France",tgn/7008038,
seller_loc_1,K-284,"Paris, France",tgn/7008038,
seller_loc_1,K-285,"Paris, France",tgn/7008038,
seller_loc_1,K-286,"Paris, France",tgn/7008038,
seller_loc_1,K-287,"Paris, France",tgn/7008038,
seller_loc_1,K-288,"Paris, France",tgn/7008038,
seller_loc_1,K-289,"Paris, France",tgn/7008038,
seller_loc_1,K-290,"Paris, France",tgn/7008038,
seller_loc_1,K-291,"Paris, France",tgn/7008038,
seller_loc_1,K-292,"Paris, France",tgn/7008038,
seller_loc_1,K-293,"Paris, France",tgn/7008038,
seller_loc_1,K-294,"Paris, France",tgn/7008038,
seller_loc_1,K-295,"Paris, France",tgn/7008038,
seller_loc_1,K-296,"Paris, France",tgn/7008038,
seller_loc_1,K-297,"Paris, France",tgn/7008038,
seller_loc_1,K-298,"Paris, France",tgn/7008038,
seller_loc_1,K-299,"Paris, France",tgn/7008038,
seller_loc_1,K-300,"Paris, France",tgn/7008038,
seller_loc_1,K-301,"Paris, France",tgn/7008038,
seller_loc_1,K-302,"Paris, France",tgn/7008038,
seller_loc_1,K-303,"Paris, France",tgn/7008038,
seller_loc_1,K-304,"Paris, France",tgn/7008038,
seller_loc_1,K-305,"Paris, France",tgn/7008038,
seller_loc_1,K-306,"Paris, France",tgn/7008038,
seller_loc_1,K-307,"Paris, France",tgn/7008038,
seller_loc_1,K-308,"Paris, France",tgn/7008038,
seller_loc_1,K-309,"Paris, France",tgn/7008038,
seller_loc_1,K-310,"Paris, France",tgn/7008038,
seller_loc_1,K-311,"Paris, France",tgn/7008038,
seller_loc_1,K-312,"Paris, France",tgn/7008038,
seller_loc_1,K-313,"Paris, France",tgn/7008038,
seller_loc_1,K-314,"Paris, France",tgn/7008038,
seller_loc_1,K-315,"Paris, France",tgn/7008038,
seller_loc_1,K-316,"Paris, France",tgn/7008038,
seller_loc_1,K-317,"Paris, France",tgn/7008038,
seller_loc_1,K-318,"Paris, France",tgn/7008038,
seller_loc_1,K-319,"Paris, France",tgn/7008038,
seller_loc_1,K-320,"Paris, France",tgn/7008038,
seller_loc_1,K-321,"Paris, France",tgn/7008038,
seller_loc_1,K-322,"Paris, France",tgn/7008038,
seller_loc_1,K-323,"Paris, France",tgn/7008038,
seller_loc_1,K-324,"Paris, France",tgn/7008038,
seller_loc_1,K-325,"Paris, France",tgn/7008038,
seller_loc_1,K-326,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-327,"Paris, France",tgn/7008038,
seller_loc_1,K-328,"Paris, France",tgn/7008038,
seller_loc_1,K-329,"Paris, France",tgn/7008038,
seller_loc_1,K-330,"Paris, France",tgn/7008038,
seller_loc_1,K-331,"Paris, France",tgn/7008038,
seller_loc_1,K-332,"Paris, France",tgn/7008038,
seller_loc_1,K-333,"Paris, France",tgn/7008038,
seller_loc_1,K-334,"Paris, France",tgn/7008038,
seller_loc_1,K-335,"Paris, France",tgn/7008038,
seller_loc_1,K-336,"Paris, France",tgn/7008038,
seller_loc_1,K-337,"Paris, France",tgn/7008038,
seller_loc_1,K-338,"Paris, France",tgn/7008038,
seller_loc_1,K-339,"Paris, France",tgn/7008038,
seller_loc_1,K-340,"Paris, France",tgn/7008038,
seller_loc_1,K-341,"Paris, France",tgn/7008038,
seller_loc_1,K-342,"Paris, France",tgn/7008038,
seller_loc_1,K-343,"Paris, France",tgn/7008038,
seller_loc_1,K-344,"Paris, France",tgn/7008038,
seller_loc_1,K-345,"Paris, France",tgn/7008038,
seller_loc_1,K-346,"Paris, France",tgn/7008038,
seller_loc_1,K-347,"Paris, France",tgn/7008038,
seller_loc_1,K-348,"Paris, France",tgn/7008038,
seller_loc_1,K-349,"Paris, France",tgn/7008038,
seller_loc_1,K-350,"Paris, France",tgn/7008038,
seller_loc_1,K-351,"Paris, France",tgn/7008038,
seller_loc_1,K-352,"Paris, France",tgn/7008038,
seller_loc_1,K-353,"Paris, France",tgn/7008038,
seller_loc_1,K-354,"Paris, France",tgn/7008038,
seller_loc_1,K-355,"Paris, France",tgn/7008038,
seller_loc_1,K-356,"Paris, France",tgn/7008038,
seller_loc_1,K-357,"Paris, France",tgn/7008038,
seller_loc_1,K-358,"Paris, France",tgn/7008038,
seller_loc_1,K-359,"Paris, France",tgn/7008038,
seller_loc_1,K-360,"Paris, France",tgn/7008038,
seller_loc_1,K-361,"Paris, France",tgn/7008038,
seller_loc_1,K-362,"Paris, France",tgn/7008038,
seller_loc_1,K-363,"Paris, France",tgn/7008038,
seller_loc_1,K-364,"Paris, France",tgn/7008038,
seller_loc_1,K-365,"Paris, France",tgn/7008038,
seller_loc_1,K-366,"Paris, France",tgn/7008038,
seller_loc_1,K-367,"Paris, France",tgn/7008038,
seller_loc_1,K-368,"Paris, France",tgn/7008038,
seller_loc_1,K-369,"Paris, France",tgn/7008038,
seller_loc_1,K-370,"Paris, France",tgn/7008038,
seller_loc_1,K-371,"Paris, France",tgn/7008038,
seller_loc_1,K-372,"Paris, France",tgn/7008038,
seller_loc_1,K-373,"Paris, France",tgn/7008038,
seller_loc_1,K-374,"Paris, France",tgn/7008038,
seller_loc_1,K-375,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-376,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-377,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-378,"Paris, France",tgn/7008038,
seller_loc_1,K-379,"Paris, France",tgn/7008038,
seller_loc_1,K-380,"Paris, France",tgn/7008038,
seller_loc_1,K-381,"Paris, France",tgn/7008038,
seller_loc_1,K-382,"Paris, France",tgn/7008038,
seller_loc_1,K-383,"Paris, France",tgn/7008038,
seller_loc_1,K-384,"Paris, France",tgn/7008038,
seller_loc_1,K-385,"Paris, France",tgn/7008038,
seller_loc_1,K-386,"Paris, France",tgn/7008038,
seller_loc_1,K-387,"Paris, France",tgn/7008038,
seller_loc_1,K-388,"Paris, France",tgn/7008038,
seller_loc_1,K-389,"Paris, France",tgn/7008038,
seller_loc_1,K-390,"Paris, France",tgn/7008038,
seller_loc_1,K-391,"Paris, France",tgn/7008038,
seller_loc_1,K-392,"Paris, France",tgn/7008038,
seller_loc_1,K-393,"Paris, France",tgn/7008038,
seller_loc_1,K-394,"Paris, France",tgn/7008038,
seller_loc_1,K-395,"Paris, France",tgn/7008038,
seller_loc_1,K-396,"Paris, France",tgn/7008038,
seller_loc_1,K-397,"Paris, France",tgn/7008038,
seller_loc_1,K-398,"Paris, France",tgn/7008038,
seller_loc_1,K-399,"Paris, France",tgn/7008038,
seller_loc_1,K-400,"Paris, France",tgn/7008038,
seller_loc_1,K-401,"Paris, France",tgn/7008038,
seller_loc_1,K-402,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-403,"Paris, France",tgn/7008038,
seller_loc_1,K-404,"Paris, France",tgn/7008038,
seller_loc_1,K-405,"Paris, France",tgn/7008038,
seller_loc_1,K-406,"Paris, France",tgn/7008038,
seller_loc_1,K-407,"Paris, France",tgn/7008038,
seller_loc_1,K-408,"Paris, France",tgn/7008038,
seller_loc_1,K-409,"Paris, France",tgn/7008038,
seller_loc_1,K-410,"Paris, France",tgn/7008038,
seller_loc_1,K-411,"Paris, France",tgn/7008038,
seller_loc_1,K-412,"Paris, France",tgn/7008038,
seller_loc_1,K-413,"Paris, France",tgn/7008038,
seller_loc_1,K-414,"Paris, France",tgn/7008038,
seller_loc_1,K-415,"Paris, France",tgn/7008038,
seller_loc_1,K-416,"Paris, France",tgn/7008038,
seller_loc_1,K-417,"Paris, France",tgn/7008038,
seller_loc_1,K-418,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-419,"Paris, France",tgn/7008038,
seller_loc_1,K-420,"Paris, France",tgn/7008038,
seller_loc_1,K-421,"Paris, France",tgn/7008038,
seller_loc_1,K-422,"Paris, France",tgn/7008038,
seller_loc_1,K-423,"Paris, France",tgn/7008038,
seller_loc_1,K-424,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-425,"Paris, France",tgn/7008038,
seller_loc_1,K-426,"Paris, France",tgn/7008038,
seller_loc_1,K-427,"Paris, France",tgn/7008038,
